Game,Round,Ring Closing,Time Remaining,Time Stamp Value,Match Elapsed,Hit,Target,Target Team,Comments
1,1,Yes,3:46,3243,199,No,,,Aimed at NIJISANJI Destroy
1,2,No,0:00,3637,593,No,,,Close call for Pink à la Mode
1,2,Yes,0:49,3664,620,No,,,
1,2,Yes,0:13,3698,654,No,,,
1,3,No,0:34,3817,773,No,,,Caustic Barrel
1,3,Yes,0:10,3885,841,Yes,Komori Met,Sadame Gaming,
2,2,No,1:12,5188,529,No,,,
2,2,No,0:46,5215,556,Yes,Tokoyami Towa,Jewel Box,VS. Jewel Box
2,2,No,0:00,5261,602,No,,,
2,2,Yes,0:42,5291,632,No,,,
2,3,No,1:18,5395,736,Yes,Tokoyami Towa,Jewel Box,
3,1,Yes,0:15,6689,410,Yes,Shinomiya Runa,Dekani9,VS. Dekani9
3,2,No,2:35,6720,441,No,,,
3,2,No,2:11,6747,468,No,,,
3,2,Yes,0:59,6889,610,Yes,Tokoyami Towa,Jewel Box,VS. Jewel Box
3,2,Yes,0:33,6916,637,Yes,Yakumo Beni,Jewel Box,
3,2,No,2:02,6966,687,No,,,
4,2,Yes,0:16,8687,663,Yes,Shirayuki Reid,StarReiDogs,
4,3,No,0:41,8800,776,No,,,Poking Pink Brain
4,3,Yes,0:27,8861,837,No,,,
4,3,Yes,0:04,8885,861,No,,,
4,4,No,0:45,8952,928,No,,,
4,4,Yes,0:35,9006,982,Yes,Makaino Ririmu,Pink Brain,a demon whines
4,5,Yes,0:24,9112,1088,Yes,Fura Kanato,Pink Brain,
4,6,No,0:47,9198,1174,No,,,at least they figured out why Asumi's catalyst tactical did damage
4,6,Yes,1:33,9276,1252,No,,,
4,6,Yes,1:04,9303,1279,Yes,Tosaki Mimi,Maple Nuts Bunny-dayo,
5,2,No,1:18,10610,516,No,,,
5,3,No,1:25,10815,721,No,,,VS. InutoLion
5,3,No,1:03,10839,745,No,,,
6,1,Yes,1:11,12318,363,No,,,
6,1,Yes,0:47,12318,363,No,,,
6,2,No,1:25,12476,521,Yes,Ratna Petit,NIJISANJI Destroy,
6,2,No,0:36,12525,570,Yes,Ratna Petit,NIJISANJI Destroy,
6,2,No,0:36,12525,570,Yes,Naraka,NIJISANJI Destroy,
6,2,No,0:13,12545,590,Yes,Ratna Petit,NIJISANJI Destroy,Riot Drill Kill
6,2,No,0:13,12545,590,Yes,Naraka,NIJISANJI Destroy,
6,2,No,0:13,12548,593,Yes,Astel Leda,Starry Sky Magic,First Self-Inflicted Drill
6,3,No,2:01,12653,698,No,,,
6,3,No,1:37,12676,721,Yes,Kurumi Noah,Maple Nuts Bunny-dayo,
6,3,Yes,0:21,12799,844,No,,,
6,4,No,1:19,12850,895,Yes,Kurumi Noah,Maple Nuts Bunny-dayo,
6,4,No,0:51,12877,922,No,,,
7,1,Yes,1:15,14025,350,Yes,Kuga Leo,DatsuKasu,
7,3,No,0:49,14432,757,Yes,Ratna Petit,NIJISANJI Destroy,
7,3,No,0:49,14432,757,Yes,Naraka,NIJISANJI Destroy,
7,3,No,0:22,14458,783,Yes,Ratna Petit,NIJISANJI Destroy,
7,3,No,0:22,14458,783,Yes,Naraka,NIJISANJI Destroy,
7,3,Yes,0:39,14490,815,Yes,Naraka,NIJISANJI Destroy,
7,3,Yes,0:39,14490,815,Yes,Naruse Naru,NIJISANJI Destroy,
7,3,Yes,0:11,14519,844,Yes,Naraka,NIJISANJI Destroy,
7,3,Yes,0:11,14519,844,Yes,Naruse Naru,NIJISANJI Destroy,Drone Destroyed
7,4,No,0:47,14590,915,Yes,Komori Met,Sadame Gaming,
7,4,No,0:47,14590,915,Yes,Ibrahim,Sadame Gaming,
7,4,Yes,0:21,14663,988,Yes,Shishigami Leona,InutoLion,
7,4,Yes,0:21,14663,988,Yes,Hira Hikari,InutoLion,
