Game,Round,Ring Closing,Time Remaining,Time Stamp Value,Match Elapsed,Hit,Target,Target Team,Comments
1,2,No,0:00,1116,598,Yes,Aruse Inu,StarReiDogs,
1,2,Yes,0:24,1162,644,No,,,
1,3,No,0:36,1289,771,No,,,
1,3,Yes,0:39,1332,814,No,,,
1,3,Yes,0:11,1362,844,No,,,
1,4,No,1:16,1404,886,No,,,
1,4,No,0:46,1434,916,No,,,
1,4,Yes,0:16,1505,987,Yes,Makaino Ririmu,Pink Brain,
1,4,Yes,0:16,1505,987,Yes,La+ Darknesss,Episenda,No POV; based on Lisa's POV and her positioning
1,5,No,1:14,1546,1028,No,,,
1,5,No,0:22,1596,1078,Yes,Ex Albio,AQF,
1,5,No,0:22,1596,1078,Yes,Fuwa Minato,AQF,
2,3,No,0:25,3168,789,Yes,Yozuna Niu,Gorilla Transportation,
2,4,No,1:30,3256,877,Yes,Naraka,NIJISANJI Destroy,NO POV; guessing based on Map POV
2,4,No,1:30,3256,877,Yes,Naruse Naru,NIJISANJI Destroy,NO POV; guessing based on Map POV
2,4,No,0:20,3328,949,Yes,Ratna Petit,NIJISANJI Destroy,NO POV; guessing based on drill position and Kanae's POV
2,4,Yes,0:34,3357,978,Yes,Ichinose Uruha,Sadame Gaming,Triple Drill onto Sadame Gaming
2,4,Yes,0:34,3357,978,Yes,Komori Met,Sadame Gaming,
2,4,Yes,0:34,3357,978,Yes,Ibrahim,Sadame Gaming,
2,5,No,1:26,3400,1021,No,,,Eaten by Ratna's Pylon
2,5,No,0:53,3431,1052,Yes,Kanae,Team Solo NIJISANJI,Triple Drill onto Team Solo NIJISANJI
2,5,No,0:53,3431,1052,Yes,Lauren Iroas,Team Solo NIJISANJI,POV is Members Only
2,5,No,0:53,3431,1052,Yes,Yuhi Riri,Team Solo NIJISANJI,Astel was almost knocked for that
2,5,No,0:04,3483,1104,Yes,Ibrahim,Sadame Gaming,Sadame retaliates with a Bangalore ultimate
2,5,Yes,0:14,3515,1136,Yes,Ichinose Uruha,Sadame Gaming,
2,5,Yes,0:14,3515,1136,Yes,Komori Met,Sadame Gaming,
2,6,No,0:54,3541,1162,Yes,Ichinose Uruha,Sadame Gaming,Triple Drill into Triple Kill
2,6,No,0:54,3541,1162,Yes,Komori Met,Sadame Gaming,
2,6,No,0:54,3541,1162,Yes,Ibrahim,Sadame Gaming,
2,6,No,0:09,3585,1206,No,,,
2,6,Yes,1:48,3613,1234,No,,,
3,2,No,0:23,4724,574,Yes,La+ Darknesss,Episenda,No POV; based on Map POV; Harassing Episenda
3,2,No,0:23,4724,574,Yes,dtto.,Episenda,No POV; based on Map POV
3,2,Yes,0:58,4764,614,Yes,dtto.,Episenda,No POV; based on Map POV
3,2,Yes,0:31,4790,640,Yes,La+ Darknesss,Episenda,No POV; based on Map POV; guessing at La+ movement
3,3,Yes,0:21,5030,880,No,,,Nemesis hit Kaede
3,4,No,1:26,5028,878,Yes,Higuchi Kaede,Maple Nuts Bunny-dayo,
3,4,Yes,0:19,5137,987,No,,,
3,5,No,1:28,5168,1018,Yes,Shirayuki Reid,StarReiDogs,
3,5,No,1:28,5168,1018,Yes,Hoshikawa Sara,StarReiDogs,walked past drill after Reid killed Astel
4,1,Yes,2:16,6175,285,No,,,Crafter was the target
4,2,No,0:24,6456,566,No,,,
4,3,No,0:41,6654,764,No,,,VS. Team Solo NIJISANJI
4,4,No,1:36,6756,866,No,,,Close call with Yuhi Riri
5,1,No,0:06,10325,141,No,,,
5,1,Yes,2:43,10445,261,No,,,VS. NIJISANJI Destroy
5,1,Yes,2:16,10470,286,No,,,
5,1,Yes,0:33,10576,392,Yes,Yang Nari,Pink à la Mode,
5,2,No,2:06,10654,470,No,,,
5,2,Yes,0:40,10812,628,No,,,
5,2,Yes,0:13,10839,655,No,,,
5,3,No,1:06,10924,740,No,,,
5,3,No,0:24,10966,782,No,,,
5,3,Yes,0:21,11017,833,Yes,Tokoyami Towa,Jewel Box,VS. Jewel Box
5,3,Yes,0:00,11043,859,Yes,Tsuna Nekota,Jewel Box,Tsuna beaming
6,2,No,1:49,12347,492,Yes,Naruse Naru,NIJISANJI Destroy,Interfering NIJISANJI Destroy vs. AQF
6,2,No,0:58,12398,543,Yes,Ex Albio,AQF,
6,2,No,0:34,12424,569,Yes,Lauren Iroas,Team Solo NIJISANJI,POV is Members Only; Yuhi Riri POV to confirm hit
6,2,No,0:11,12446,591,Yes,Yuhi Riri,Team Solo NIJISANJI,
6,2,Yes,0:27,12503,648,Yes,Ex Albio,AQF,
6,3,No,1:10,12600,745,Yes,Lauren Iroas,Team Solo NIJISANJI,POV is Members Only; Yuhi Riri POV to confirm hit
6,3,Yes,0:21,12696,841,No,,,
6,6,No,0:00,13075,1220,No,,,
6,6,Yes,1:37,13101,1246,No,,,
6,6,Yes,1:15,13123,1268,Yes,Lauren Iroas,Team Solo NIJISANJI,POV is Members Only; Yuhi Riri POV to confirm hit
